Album Name,Artist,Spotify URI,credit: YOUR NAME HERE!,Anthony Fantano's Score
Cosmogramma,Flying Lotus,spotify:album:5c7XChrHxYaqykCZLaGM5f,Coffee Break,8
Throat,Little Women,spotify:album:1SpWwIEwnXRhc8co4h17hf,Coffee Break,9
Latin,Holy Fuck,spotify:album:1BStiBF6YFDPgGuNPh5rhi,Coffee Break,7
High Violet,The National,spotify:album:59gXPxZ8CwFaeknPxtxXHZ,Coffee Break,6
At Echo Lake,Woods,spotify:album:45YGCEh09Ji6rdHjPgNdw8,Coffee Break,8
Together,The New Pornographers,spotify:album:2c4mwBI6iRg3QIAvFs4gek,Coffee Break,7
Sea of Cowards,The Dead Weather,spotify:album:5QaEJj1wEqIePsjVtMzReu,Coffee Break,5
This Is Happening,LCD Soundsystem,spotify:album:4hnqM0JK4CM1phwfq1Ldyz,Coffee Break,9
Brothers,The Black Keys,spotify:album:7qE6RXYyz5kj5Tll7mJU0v,Coffee Break,7
Treats,Sleigh Bells,spotify:album:1IWkF6zpOq73txmrYpljIT,Coffee Break,3
Hippies,Harlem,spotify:album:32kACISdDQ9wsLfrkk7HIn,Coffee Break,7
Maniac Meat,Tobacco,spotify:album:4SOxWpta4wsKaj2wWpwHbC,Coffee Break,7
Portal of Sorrow,Xasthur,spotify:album:7rQmVQL05mnNZYEoEx5bzF,Robert Crowe,4
LP4,Ratatat,spotify:album:72aBWaiTnk9GHNcuMuZwcJ,Coffee Break,8
OJ Simpson,Guilty Simpson,spotify:album:2ZBt5mSuxPhkMKNktznFUb,CB,6
Innerspeaker,Tame Impala,spotify:album:5RA5hhLlbw31QfQRX11pwo,Coffee Break,6
The Bride Screamed Murder,Melvins,spotify:album:3fgVI8c5sKG2TUW9oxQl5x,Coffee Break,5
Fever,Sleepy Sun,spotify:album:4p0VY8aORNcSS8i7sXZUkE,Robert Crowe,7
Pigeons,Here We Go Magic,spotify:album:3sw1xriq5pDoHBz6LlXGEB,Coffee Break,7
Before Today,Ariel Pink's Haunted Graffiti,spotify:album:1dO7qBlkQXYENJaHfK7h56,Coffee Break,8
Wild Smile,Suckers,spotify:album:0QZIMRFiqQFoNbznS5enkn,Robert Crowe,7
Total Life Forever,Foals,spotify:album:7AJfPQUqsHzmXUBR8Da91W,Robert Crowe,4
Becoming A Jackal,Villagers,spotify:album:7iv57BJ8hQM3Zo8wfZ65Nx,Robert Crowe,6
